#######################################################
#
# Main Belt Asteroids
#
# Col 1 - Asteroid Name (str)
# Col 2 - Absolute Magnitude [H] (float)
# Col 3 - Geometric Albedo [A] (float)
#
#######################################################
"450_Brigitta(1899_EV)",10.1,0.1229
"451_Patientia(1899_EY)",6.65,0.0764
"453_Tea(1900_FA)",10.4,0.1827
"454_Mathesis(1900_FC)",9.20,0.0555
"455_Bruchsalia(1900_FG)",8.9,0.0709
"456_Abnoba(1900_FH)",9.0,0.2335
"458_Hercynia(1900_FK)",9.63,0.1654
"459_Signe(1900_FM)",10.44,0.1370
"460_Scania(1900_FN)",10.7,0.2144
"462_Eriphyla(1900_FQ)",9.23,0.2829
"463_Lola(1900_FS)",11.82,0.0829
"464_Megaira(1901_FV)",9.52,0.0502
"465_Alekto(1901_FW)",9.8,0.0433
"467_Laura(1901_FY)",10.8,0.0633
"468_Lina(1901_FZ)",9.83,0.0430
"469_Argentina(1901_GE)",8.62,0.0399
"470_Kilia(1901_GJ)",10.07,0.2379
"471_Papagena(1901_GN)",6.73,0.1994
"472_Roma(1901_GP)",8.92,0.2138
"474_Prudentia(1901_GD)",10.9,0.0720
"476_Hedwig(1901_GQ)",8.55,0.0493
"477_Italia(1901_GR)",10.25,0.2769
"478_Tergeste(1901_GU)",7.98,0.1798
"479_Caprera(1901_HJ)",9.60,0.0480
"480_Hansa(1901_GL)",8.38,0.2485
"482_Petrina(1902_HT)",8.84,0.2372
"484_Pittsburghia(1902_HX)",9.86,0.2012
"485_Genua(1902_HZ)",8.2,0.2072
"486_Cremona(1902_JB)",11.0,0.1631
"487_Venetia(1902_JL)",8.14,0.2457
"488_Kreusa(1902_JG)",7.81,0.0589
"489_Comacina(1902_JM)",8.32,0.0427
"490_Veritas(1902_JP)",8.32,0.0622
"491_Carina(1902_JQ)",9.0,0.0743
"492_Gismonda(1902_JR)",9.9,0.0795
"493_Griseldis(1902_JS)",10.8,0.0622
"494_Virtus(1902_JV)",8.96,0.0630
